epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,2719.85,1.48952,3.30316,1.79602,0.00538,0.10725,0.00971,0.00204,3.22428,4.22552,3.16982,0.008713,0.008713,0.008713
54,2770.49,1.47821,3.30126,1.78964,0.00258,0.03043,0.0029,0.0007,3.12138,4.72919,3.16999,0.00868825,0.00868825,0.00868825
55,2820.24,1.48019,3.29568,1.78548,0.00401,0.15942,0.00433,0.00099,3.23262,4.32291,3.06348,0.0086635,0.0086635,0.0086635
56,2869.86,1.50232,3.30358,1.78428,0.00651,0.05942,0.00455,0.00104,3.22953,4.29393,3.08366,0.00863875,0.00863875,0.00863875
57,2919.75,1.48894,3.30817,1.77668,0.0055,0.14783,0.00843,0.00209,3.11405,4.48867,3.05157,0.008614,0.008614,0.008614
58,2969.18,1.50864,3.31462,1.79112,0.00707,0.12464,0.00802,0.00168,3.14481,4.22721,3.02735,0.00858925,0.00858925,0.00858925
59,3018.85,1.47677,3.30876,1.77092,0.21277,0.04783,0.00959,0.00221,3.16834,4.02382,2.9666,0.0085645,0.0085645,0.0085645
60,3068.25,1.47713,3.29154,1.78525,0.00478,0.01014,0.00467,0.00092,3.13843,4.33845,3.09741,0.00853975,0.00853975,0.00853975
61,3117.58,1.46624,3.29659,1.77032,0.21067,0.05797,0.00719,0.00163,3.14843,4.09522,3.07584,0.008515,0.008515,0.008515
62,3167.51,1.47962,3.30081,1.77761,0.21401,0.02754,0.0072,0.00168,3.12248,4.41028,3.00115,0.00849025,0.00849025,0.00849025
63,3217.35,1.48399,3.28609,1.78295,0.00612,0.02609,0.00434,0.00098,2.97517,4.20717,2.92707,0.0084655,0.0084655,0.0084655
64,3267.15,1.48409,3.29226,1.7803,0.21613,0.04928,0.0086,0.00156,3.05098,4.72865,3.0984,0.00844075,0.00844075,0.00844075
65,3316.43,1.47634,3.28371,1.76531,0.20642,0.05942,0.00545,0.00127,3.06472,4.21623,3.03632,0.008416,0.008416,0.008416
66,3366.96,1.4662,3.26788,1.77384,0.0067,0.01304,0.00487,0.0011,3.25576,4.42217,3.28112,0.00839125,0.00839125,0.00839125
67,3416.42,1.47713,3.30492,1.77737,0.20795,0.01449,0.00469,0.00107,3.04953,4.13546,3.00266,0.0083665,0.0083665,0.0083665
68,3465.89,1.48271,3.29639,1.78282,0.60497,0.0087,0.00513,0.0012,2.96786,4.32327,2.98721,0.00834175,0.00834175,0.00834175
69,3515.73,1.49877,3.31521,1.77952,0.21033,0.01884,0.00411,0.00084,3.22177,4.24414,3.20423,0.008317,0.008317,0.008317
70,3566.13,1.47118,3.29406,1.77612,0.00418,0.01014,0.00577,0.00127,3.07181,4.1527,3.07413,0.00829225,0.00829225,0.00829225
71,3616.73,1.46118,3.28707,1.76308,0.40704,0.02464,0.00525,0.00126,2.92471,4.26184,2.94963,0.0082675,0.0082675,0.0082675
72,3666.57,1.47685,3.29282,1.77743,0.20624,0.02754,0.00492,0.00102,3.064,4.11362,3.03306,0.00824275,0.00824275,0.00824275
73,3716.22,1.44494,3.29211,1.74704,0.00644,0.02464,0.00654,0.00141,3.03104,4.14339,2.99644,0.008218,0.008218,0.008218
74,3765.65,1.44246,3.26205,1.76217,0.21773,0.03913,0.00779,0.00179,3.33386,4.2338,3.40422,0.00819325,0.00819325,0.00819325
75,3816.44,1.4765,3.28642,1.78026,0.21056,0.02319,0.00459,0.00106,3.13249,4.47966,3.09948,0.0081685,0.0081685,0.0081685
76,3866.58,1.4942,3.31587,1.77661,0.22531,0.03478,0.01,0.00216,3.27791,4.46453,3.14604,0.00814375,0.00814375,0.00814375
77,3917.57,1.47806,3.31039,1.76966,0.22149,0.03043,0.0063,0.00149,3.24456,4.58477,3.25678,0.008119,0.008119,0.008119
78,3968.29,1.47121,3.29453,1.78046,0.20679,0.04348,0.00668,0.00148,3.03942,4.53981,3.01278,0.00809425,0.00809425,0.00809425
79,4018.46,1.46942,3.27364,1.76885,0.20501,0.03623,0.00406,0.00095,3.01068,4.18434,2.98286,0.0080695,0.0080695,0.0080695
80,4068.63,1.45831,3.28308,1.76837,0.20781,0.03913,0.00474,0.00112,3.03274,4.21825,2.99263,0.00804475,0.00804475,0.00804475
81,4118.61,1.45641,3.29086,1.75431,0.20868,0.04928,0.0063,0.00137,3.07957,4.04416,3.02027,0.00802,0.00802,0.00802
82,4168.11,1.47095,3.28511,1.76558,0.20731,0.02609,0.00618,0.00163,2.98344,4.047,2.94765,0.00799525,0.00799525,0.00799525
83,4217.76,1.45802,3.30263,1.75701,0.00818,0.13913,0.01087,0.00263,2.93036,3.89596,2.91974,0.0079705,0.0079705,0.0079705
84,4268.65,1.4685,3.32351,1.76137,0.20869,0.02609,0.00687,0.00144,3.09533,3.98852,3.02251,0.00794575,0.00794575,0.00794575
85,4318.82,1.4637,3.29728,1.75644,0.00434,0.07101,0.00397,0.00073,3.09222,4.08469,2.90316,0.007921,0.007921,0.007921
86,4368.81,1.46729,3.28157,1.76823,0.00375,0.13043,0.00463,0.00104,2.95925,4.26115,2.8762,0.00789625,0.00789625,0.00789625
87,4418.7,1.4773,3.29774,1.77088,0.21245,0.03768,0.00667,0.00141,3.18079,4.10649,3.10458,0.0078715,0.0078715,0.0078715
88,4469.16,1.45945,3.27651,1.75641,0.20435,0.00725,0.00249,0.00048,3.22818,4.22409,3.24344,0.00784675,0.00784675,0.00784675
89,4519.52,1.46165,3.30011,1.76223,0.20647,0.01594,0.00506,0.00103,3.06974,4.1192,3.02987,0.007822,0.007822,0.007822
90,4569.98,1.47572,3.28693,1.76311,0.01805,0.02899,0.00791,0.00164,3.12403,4.14165,3.13671,0.00779725,0.00779725,0.00779725
91,4620.41,1.44963,3.27019,1.75213,0.20942,0.01159,0.00649,0.00137,3.12908,4.0063,3.0045,0.0077725,0.0077725,0.0077725
92,4671.12,1.44876,3.27195,1.75791,0.20629,0.01739,0.00508,0.00109,3.04705,4.23228,2.99939,0.00774775,0.00774775,0.00774775
93,4721.1,1.45295,3.2728,1.75648,0.20501,0.05942,0.00378,0.00086,3.28904,4.29765,3.24515,0.007723,0.007723,0.007723
94,4771.04,1.46269,3.2802,1.75642,0.20823,0.01739,0.0063,0.00145,3.11133,4.21024,3.06726,0.00769825,0.00769825,0.00769825
95,4820.94,1.44815,3.28534,1.76533,0.00521,0.01014,0.00413,0.00092,3.04336,4.16579,3.04802,0.0076735,0.0076735,0.0076735
96,4870.62,1.48313,3.30452,1.76704,0.00568,0.08505,0.00505,0.00116,3.03095,4.19202,2.99992,0.00764875,0.00764875,0.00764875
97,4920.65,1.46052,3.30024,1.7648,0.00197,0.21581,0.00385,0.0009,3.04819,4.102,3.05565,0.007624,0.007624,0.007624
98,4970.3,1.44504,3.27338,1.75533,0.00473,0.05217,0.00384,0.00082,3.07388,4.16001,3.05028,0.00759925,0.00759925,0.00759925
99,5019.89,1.44715,3.27443,1.75154,0.20639,0.03913,0.00395,0.00085,3.17196,4.25296,3.19701,0.0075745,0.0075745,0.0075745
100,5069.97,1.44792,3.25952,1.74855,0.20742,0.01739,0.00532,0.0012,3.0838,4.05142,3.10151,0.00754975,0.00754975,0.00754975
101,5119.41,1.4628,3.27222,1.76548,0.40364,0.00435,0.00334,0.00075,3.07051,4.08989,3.09309,0.007525,0.007525,0.007525
